chrlbl,citations,definition,part_of_speech,word,first_citation_date,first_citation_text,last_citation_date,last_citation_text,family
late 19C,"{'@class': 'new18C', '@first': 'yes', 'date': '1879', 'tit': 'Sporting Times', 'num': '3/2', '#text': '(London) 15 Feb. This deputation about music-halls was simply ‘crass assdom’'}",stupidity as shown by a group of individuals,noun,assdom,1879,(London) 15 Feb. This deputation about music-halls was simply ‘crass assdom’,1879,(London) 15 Feb. This deputation about music-halls was simply ‘crass assdom’,ass
20C+,"[{'@first': 'yes', 'date': '1909', 'aut': 'Joyce', 'src': 'Ellman', 'tit': 'Sel. Letters', 'edn': '1975', 'num': '184', '#text': 'letter 8 Dec. to Nora Barnacle, in  I am delighted to see that you do like being fucked arseways'}, {'date': '1949', 'aut': 'H. Miller', 'tit': 'Sexus', 'edn': '1969', 'num': '58', '#text': 'She was on her hands and knees, begging me to give it to her assways'}]","of sexual intercourse, from the rear",adjective,assways,1909,"letter 8 Dec. to Nora Barnacle, in  I am delighted to see that you do like being fucked arseways",1949,"She was on her hands and knees, begging me to give it to her assways",ass
1910s+,"[{'@class': 'edited', '@first': 'yes', 'date': '1919', 'tit': 'Sketch', 'num': '202/2', '#text': '(London) 107 There’s the rumour of the raiders who ‘bummed’ London having their compasses rendered all assways by ‘Magnetick currents’'}, {'date': '1934', 'aut': 'H. Miller', 'tit': 'Tropic of Cancer', 'edn': '1963', 'num': '93', '#text': 'He stands there with [...] his hat on assways'}, {'@class': 'edited', 'date': '1941', 'aut': 'H. Miller', 'tit': 'Wisdom of the Heart', 'num': '118', '#text': 'That’s civilization — always doing things assways'}, {'date': '1974', 'con': '1945', 'aut': 'E. Thompson', 'tit': 'Tattoo', 'edn': '1977', 'num': '312', '#text': 'They’re [films] supposed to come rewound, but they come ass-to and every whichaway'}, {'@class': 'new17C', 'date': '1996', 'aut': 'P. Howard', 'tit': 'The Joy', 'edn': '2015', '#text': '[ebook] ‘Oh, sorry, I must have got it [i.e. a piece of information] arseways’'}, {'date': '1998', 'aut': 'J. O’Connor', 'tit': 'Salesman', 'num': '194', '#text': 'If things go arseways and if I have to use this [...] then you’ll have to buy it off me'}, {'date': '2000', 'aut': 'F. Mac Anna', 'tit': 'Cartoon City', 'num': '52', '#text': 'Hadn’t she invited him herself. Or had the flower shop lady got it arseways?'}]","skew-whiff, back-to-front",adjective,assways,1919,(London) 107 There’s the rumour of the raiders who ‘bummed’ London having their compasses rendered all assways by ‘Magnetick currents’,2000,Hadn’t she invited him herself. Or had the flower shop lady got it arseways?,ass
1920s,"{'@first': 'yes', 'date': '1922', 'aut': '‘J.H. Ross’', 'tit': 'Mint', 'edn': '1955', 'num': '55', '#text': 'The barman only shook his bloody apron at him, and he went arse-ways on the fucking floor'}",head-over-heels,adjective,assways,1922,"The barman only shook his bloody apron at him, and he went arse-ways on the fucking floor",1922,"The barman only shook his bloody apron at him, and he went arse-ways on the fucking floor",ass
1940s,"{'@first': 'yes', 'date': '1947–53', 'aut': 'W. Guthrie', 'tit': 'Seeds of Man', 'edn': '1995', 'num': '297', '#text': 'Got it here’n my assways pocket'}","rear, as of a pocket",adjective,assways,1947,Got it here’n my assways pocket,1947,Got it here’n my assways pocket,ass
1980s+,"[{'@first': 'yes', 'date': '1989–2003', 'aut': 'R.O. Scott', 'tit': 'Gay Sl. Dict.', 'i': 'assy', '#text': '[Internet] : bitch, nasty'}, {'date': '1990', 'aut': 'J. Naidoo', 'tit': 'Coolie Location', 'num': '66', '#text': '‘I’ll get you!’ I threatened. ‘You won’t get me nothing, you assy Parker!’'}]","malicious, sarcastic",adjective,assy,1989,"[Internet] : bitch, nasty",1990,"‘I’ll get you!’ I threatened. ‘You won’t get me nothing, you assy Parker!’",ass
2000s,"{'@first': 'yes', 'date': '2000', 'tit': ['Ebonics Primer', 'www.dolemite.com'], 'b': 'assy', 'i': 'Yo, that ugly skank ho o’er dere is assy. I wouldn’t do her for all the Jack Daniels in Tennesee', '#text': 'at  [Internet]  Definition: in the condition of being a fool/small time Example:'}","insignificant, second-rate, unimportant",adjective,assy,2000,at  [Internet]  Definition: in the condition of being a fool/small time Example:,2000,at  [Internet]  Definition: in the condition of being a fool/small time Example:,ass
2000s+,"{'@class': 'new', '@first': 'yes', 'date': '2013', 'aut': 'J. Stahl', 'tit': 'Happy Mutant Baby Pills', 'num': '122', '#text': 'They mad-dogged us and then the boy grabbed one of his chiquita’s butt cheeks [...] Nora slid her eyes my way and shrugged. ‘Some guys like ’em assy’'}",having large or prominent buttocks,adjective,assy,2013,They mad-dogged us and then the boy grabbed one of his chiquita’s butt cheeks [...] Nora slid her eyes my way and shrugged. ‘Some guys like ’em assy’,2013,They mad-dogged us and then the boy grabbed one of his chiquita’s butt cheeks [...] Nora slid her eyes my way and shrugged. ‘Some guys like ’em assy’,ass
1920s+,"[{'@class': 'uk', 'pre': '1893', 'aut': 'J. Salisbury', 'tit': 'Gloss. Words S.E. Worcs', 'num': '13', 'i': 'Assud-backuds', '#text': ', hind before ]'}, {'@class': 'edited', '@first': 'yes', 'date': '1929', 'aut': 'Rabelais', 'tit': 'All Extant Works: An American Translation', 'num': '55', '#text': 'I hope you drink so much you tumble over arse-backwards'}, {'circa': '1930', 'aut': 'N. Kimball', 'tit': 'Amer. Madam', 'edn': '1981', 'num': '185', '#text': 'His attitude was ass-backwards'}, {'date': '1937', 'tit': 'Hench Collection', 'num': 'n.p.', 'i': 'assbackwards', 'org': 'DARE', '#text': 'I have heard for years in the speech of less polished persons the word  as in ‘He put on his pants assbackwards’'}, {'date': '1943', 'con': '1890s', 'aut': 'W.L. McAtee', 'tit': 'Dial. Grant County', 'num': '2', '#text': '(IN) Suppl  Ass-backwards [...] Extravagance for backwards'}, {'date': '1952', 'aut': 'R. Ellison', 'tit': 'Invisible Man', 'num': '137', '#text': 'We’re an assbackward people'}, {'date': '1958', 'aut': 'L.F. Cooley', 'tit': 'Run For Home', 'edn': '1959', 'num': '106', '#text': 'He’d probably give it to you all ass-backwards!'}, {'date': '1960', 'con': 'WWII', 'aut': 'G. Sire', 'tit': 'Deathmakers', 'num': '216', '#text': 'He spends the rest of his life running around ass-backwards, until he finally disappears up his own asshole'}, {'date': '1960–75', 'tit': 'DARE', '#text': 'in'}, {'@class': 'N331', 'date': '1962', 'con': 'WWII', 'aut': 'J.O. Killens', 'tit': 'And Then We Heard The Thunder', 'edn': '1964', 'num': '87', '#text': 'You got everything ass-backwards'}, {'date': '1966', 'aut': 'C. Himes', 'tit': 'Run Man Run', 'edn': '1969', 'num': '94', '#text': 'I do eveything ass backwards, don’t I?'}, {'@class': 'N331', 'date': '1972', 'aut': 'R.A. Wilson', 'tit': 'Playboy’s Book of Forbidden Words'}, {'date': '1978', 'aut': 'J. Webb', 'tit': 'Fields of Fire', 'edn': '1980', 'num': '27', '#text': '‘You in the Marines?’ [...] ‘Nope, not yet.’ [...] ‘Ain’t this kind of ass-backwards?’'}, {'date': '1983', 'aut': 'N. Heard', 'tit': 'House of Slammers', 'num': '118', '#text': 'That seems a bit ass-backwards, as I see it'}, {'date': '1986', 'aut': 'L. Heinemann', 'tit': 'Paco’s Story', 'edn': '1987', 'num': '126', '#text': 'I don’t fly it right side up, upside down, inside out, crosswise, ass backward, or fuck-you otherwise'}, {'date': '1991', 'aut': 'D. Simon', 'tit': 'Homicide', 'edn': '1993', 'num': '224', '#text': 'A dozen or more .38-caliber rounds, most of them ass-backwards wadcutters'}, {'date': '1999', 'aut': '‘Punctured Bicycle’', '#text': '14 Nov. [email] Most humans on this arse backwards planet will not know what the hell to do with him, others love him intensely'}, {'date': '2002', 'aut': 'J. Lerner', 'tit': 'You Got Nothing Coming', 'num': '194', '#text': 'I exit the cell ass-backward, crashing into the moo cop who has run up the tier'}, {'date': '2002', 'aut': 'M. Rogers', '#text': '[blog] 9 May Anyway, this guy’s done some academic work demonstrating how arse-backwards conservative voting patterns actually are'}, {'@class': 'N331', 'date': '2002', 'aut': '‘Touré’', 'tit': 'Portable Promised Land', 'num': '160', '#text': '(ms.) We Words (My Favorite Things) [...] Assbackwards'}, {'@class': 'edited', 'date': '2010', 'aut': 'A. Steinberg', 'tit': 'Running the Books', 'num': '82', '#text': ""I’d kick myself in the ass, ass backwardz if I didn't attempt to get the goodz, knowin’ that I wanted a piece of the pie""}, {'@class': 'new17B', 'date': '2017', 'tit': 'Twitter', '#text': '14 May [Internet] There is no way you’re a millennial with that 1950s assbackwards way of thinking'}]","back-to-front; thus fig., in a mess, chaotic",compound,ass-backwards,1893,", hind before ]",2017,14 May [Internet] There is no way you’re a millennial with that 1950s assbackwards way of thinking,ass
2000s,"{'@class': 'edited', '@first': 'yes', 'date': '2008', 'aut': 'G. Pelecanos', 'tit': 'Way Home', 'edn': '2009', 'num': '157', '#text': 'Chris and Ben would be ass-broke and back at work at seven in the morning'}",totally impoverished,phrase,ass-broke,2008,Chris and Ben would be ass-broke and back at work at seven in the morning,2008,Chris and Ben would be ass-broke and back at work at seven in the morning,ass
